No,Tren_Harga,Broker_Summary,Volume_Transaksi,Status_Orderbook,Keputusan
454,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
455,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
456,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
457,Sideways,Netral,Tinggi,Kuat Offer,Wait
458,Downtrend,Netral,Rendah,Kuat Offer,Wait
459,Sideways,Netral,Rendah,Kuat Bid,Wait
460,Sideways,Netral,Rendah,Kuat Offer,Wait
461,Downtrend,Netral,Tinggi,Kuat Offer,Wait
462,Sideways,Distribusi,Rendah,Kuat Bid,Wait
463,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
464,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
465,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
466,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
467,Sideways,Netral,Tinggi,Kuat Bid,Buy
468,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
469,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
470,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
471,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
472,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
473,Downtrend,Netral,Rendah,Kuat Bid,Wait
474,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
475,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
476,Uptrend,Netral,Tinggi,Kuat Bid,Buy
477,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
478,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
479,Sideways,Netral,Tinggi,Kuat Offer,Wait
480,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
481,Sideways,Distribusi,Rendah,Kuat Offer,Wait
482,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
483,Downtrend,Netral,Rendah,Kuat Bid,Wait
484,Sideways,Netral,Tinggi,Kuat Bid,Buy
485,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
486,Sideways,Netral,Tinggi,Kuat Bid,Buy
487,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
488,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
489,Sideways,Netral,Tinggi,Kuat Offer,Wait
490,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
491,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
492,Sideways,Netral,Tinggi,Kuat Bid,Buy
493,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
494,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
495,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
496,Sideways,Netral,Tinggi,Kuat Bid,Buy
497,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
498,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
499,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
500,Downtrend,Netral,Tinggi,Kuat Offer,Wait
501,Uptrend,Netral,Tinggi,Kuat Offer,Buy
502,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
503,Sideways,Distribusi,Rendah,Kuat Bid,Wait
504,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
505,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
506,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
507,Sideways,Netral,Tinggi,Kuat Offer,Wait
508,Uptrend,Netral,Rendah,Kuat Offer,Wait
509,Sideways,Distribusi,Rendah,Kuat Offer,Wait
510,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
511,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
512,Uptrend,Netral,Tinggi,Kuat Offer,Buy
513,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
514,Uptrend,Netral,Rendah,Kuat Bid,Buy
515,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
516,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
517,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
518,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
519,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
520,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
521,Uptrend,Netral,Tinggi,Kuat Bid,Buy
522,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
523,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
524,Sideways,Netral,Rendah,Kuat Offer,Wait
525,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
526,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
527,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
528,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
529,Uptrend,Netral,Rendah,Kuat Offer,Wait
530,Uptrend,Netral,Tinggi,Kuat Bid,Buy
531,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
532,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
533,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
534,Uptrend,Netral,Tinggi,Kuat Offer,Buy
535,Sideways,Distribusi,Rendah,Kuat Offer,Wait
536,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
537,Sideways,Netral,Tinggi,Kuat Offer,Wait
538,Sideways,Netral,Tinggi,Kuat Offer,Wait
539,Sideways,Netral,Rendah,Kuat Bid,Wait
540,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
541,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
542,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
543,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
544,Sideways,Netral,Rendah,Kuat Bid,Wait
545,Sideways,Netral,Tinggi,Kuat Bid,Buy
546,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
547,Sideways,Netral,Tinggi,Kuat Bid,Buy
548,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
549,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
550,Sideways,Netral,Rendah,Kuat Offer,Wait
551,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
552,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
553,Downtrend,Netral,Rendah,Kuat Offer,Wait
554,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
555,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
556,Sideways,Distribusi,Rendah,Kuat Bid,Wait
557,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
558,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
559,Sideways,Distribusi,Rendah,Kuat Bid,Wait
560,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
561,Downtrend,Netral,Rendah,Kuat Bid,Wait
562,Uptrend,Netral,Tinggi,Kuat Bid,Buy
563,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
564,Uptrend,Netral,Tinggi,Kuat Bid,Buy
565,Sideways,Netral,Rendah,Kuat Offer,Wait
566,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
567,Sideways,Netral,Tinggi,Kuat Offer,Wait
568,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
569,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
570,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
571,Uptrend,Netral,Tinggi,Kuat Offer,Buy
572,Sideways,Distribusi,Rendah,Kuat Offer,Wait
573,Sideways,Netral,Tinggi,Kuat Offer,Wait
574,Downtrend,Netral,Tinggi,Kuat Offer,Wait
575,Downtrend,Netral,Tinggi,Kuat Offer,Wait
576,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
577,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
578,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
579,Downtrend,Netral,Rendah,Kuat Offer,Wait
580,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
581,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
582,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
583,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
584,Sideways,Netral,Tinggi,Kuat Bid,Buy
585,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
586,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
587,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
588,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
589,Sideways,Netral,Rendah,Kuat Offer,Wait
590,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
591,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
592,Uptrend,Netral,Tinggi,Kuat Offer,Buy
593,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
594,Sideways,Netral,Rendah,Kuat Offer,Wait
595,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
596,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
597,Sideways,Netral,Rendah,Kuat Offer,Wait
598,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
599,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
600,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
601,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
602,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
603,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
604,Uptrend,Netral,Rendah,Kuat Bid,Buy
605,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
606,Sideways,Netral,Rendah,Kuat Offer,Wait
607,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
608,Uptrend,Netral,Tinggi,Kuat Offer,Buy
609,Sideways,Netral,Rendah,Kuat Bid,Wait
610,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
611,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
612,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
613,Uptrend,Netral,Rendah,Kuat Offer,Wait
614,Uptrend,Netral,Rendah,Kuat Bid,Buy
615,Uptrend,Netral,Tinggi,Kuat Bid,Buy
616,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
617,Sideways,Netral,Rendah,Kuat Bid,Wait
618,Downtrend,Netral,Rendah,Kuat Offer,Wait
619,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
620,Uptrend,Netral,Rendah,Kuat Bid,Buy
621,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
622,Sideways,Distribusi,Rendah,Kuat Bid,Wait
623,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
624,Downtrend,Netral,Rendah,Kuat Offer,Wait
625,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
626,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
627,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
628,Uptrend,Netral,Tinggi,Kuat Offer,Buy
629,Downtrend,Netral,Rendah,Kuat Offer,Wait
630,Uptrend,Netral,Rendah,Kuat Bid,Buy
631,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
632,Sideways,Netral,Tinggi,Kuat Bid,Buy
633,Sideways,Netral,Rendah,Kuat Offer,Wait
634,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
635,Sideways,Netral,Rendah,Kuat Bid,Wait
636,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
637,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
638,Sideways,Netral,Rendah,Kuat Bid,Wait
639,Downtrend,Netral,Tinggi,Kuat Offer,Wait
640,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
641,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
642,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
643,Downtrend,Netral,Rendah,Kuat Offer,Wait
644,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
645,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
646,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
647,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
648,Sideways,Netral,Rendah,Kuat Offer,Wait
649,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
650,Sideways,Netral,Tinggi,Kuat Bid,Buy
651,Uptrend,Netral,Tinggi,Kuat Offer,Buy
652,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
653,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
654,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
655,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
656,Uptrend,Netral,Rendah,Kuat Bid,Buy
657,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
658,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
659,Uptrend,Netral,Rendah,Kuat Offer,Wait
660,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
661,Downtrend,Netral,Tinggi,Kuat Bid,Buy
662,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
663,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
664,Downtrend,Netral,Tinggi,Kuat Offer,Wait
665,Downtrend,Netral,Rendah,Kuat Offer,Wait
666,Downtrend,Netral,Tinggi,Kuat Offer,Wait
667,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
668,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
669,Downtrend,Netral,Tinggi,Kuat Bid,Buy
670,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
671,Downtrend,Netral,Rendah,Kuat Offer,Wait
672,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
673,Downtrend,Netral,Rendah,Kuat Offer,Wait
674,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
675,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
676,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
677,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
678,Downtrend,Netral,Tinggi,Kuat Bid,Buy
679,Downtrend,Netral,Tinggi,Kuat Offer,Wait
680,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
681,Downtrend,Netral,Tinggi,Kuat Offer,Wait
682,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
683,Uptrend,Netral,Rendah,Kuat Offer,Wait
684,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
685,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
686,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
687,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
688,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
689,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
690,Sideways,Netral,Tinggi,Kuat Bid,Buy
691,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
692,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
693,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
694,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
695,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
696,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
697,Sideways,Distribusi,Rendah,Kuat Bid,Wait
698,Downtrend,Netral,Tinggi,Kuat Bid,Buy
699,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
700,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
701,Sideways,Netral,Tinggi,Kuat Offer,Wait
702,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
703,Uptrend,Netral,Tinggi,Kuat Offer,Buy
704,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
705,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
706,Uptrend,Netral,Tinggi,Kuat Bid,Buy
707,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
708,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
709,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
710,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
711,Uptrend,Netral,Tinggi,Kuat Bid,Buy
712,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
713,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
714,Sideways,Distribusi,Rendah,Kuat Offer,Wait
715,Downtrend,Netral,Tinggi,Kuat Offer,Wait
716,Sideways,Netral,Rendah,Kuat Bid,Wait
717,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
718,Uptrend,Netral,Rendah,Kuat Offer,Wait
719,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
720,Sideways,Distribusi,Rendah,Kuat Bid,Wait
721,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
722,Uptrend,Netral,Tinggi,Kuat Bid,Buy
723,Uptrend,Netral,Rendah,Kuat Bid,Buy
724,Sideways,Netral,Tinggi,Kuat Offer,Wait
725,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
726,Sideways,Netral,Rendah,Kuat Offer,Wait
727,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
728,Sideways,Netral,Tinggi,Kuat Bid,Buy
729,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
730,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
731,Sideways,Netral,Rendah,Kuat Bid,Wait
732,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
733,Uptrend,Netral,Rendah,Kuat Bid,Buy
734,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
735,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
736,Sideways,Netral,Rendah,Kuat Offer,Wait
737,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
738,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
739,Uptrend,Netral,Rendah,Kuat Bid,Buy
740,Sideways,Distribusi,Rendah,Kuat Bid,Wait
741,Sideways,Netral,Tinggi,Kuat Bid,Buy
742,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
743,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
744,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
745,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
746,Sideways,Netral,Tinggi,Kuat Offer,Wait
747,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
748,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
749,Downtrend,Netral,Tinggi,Kuat Bid,Buy
750,Downtrend,Netral,Rendah,Kuat Offer,Wait
751,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
752,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
753,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
754,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
755,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
756,Uptrend,Netral,Tinggi,Kuat Offer,Buy
757,Sideways,Netral,Tinggi,Kuat Bid,Buy
758,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
759,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
760,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
761,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
762,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
763,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
764,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
765,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
766,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
767,Uptrend,Netral,Tinggi,Kuat Offer,Buy
768,Sideways,Netral,Tinggi,Kuat Offer,Wait
769,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
770,Uptrend,Netral,Tinggi,Kuat Offer,Buy
771,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
772,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
773,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
774,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
775,Uptrend,Netral,Rendah,Kuat Offer,Wait
776,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
777,Sideways,Netral,Rendah,Kuat Bid,Wait
778,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
779,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
780,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
781,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
782,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
783,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
784,Uptrend,Netral,Rendah,Kuat Bid,Buy
785,Downtrend,Netral,Tinggi,Kuat Bid,Buy
786,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
787,Downtrend,Netral,Tinggi,Kuat Offer,Wait
788,Uptrend,Netral,Rendah,Kuat Offer,Wait
789,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
790,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
791,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
792,Sideways,Netral,Rendah,Kuat Bid,Wait
793,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
794,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
795,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
796,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
797,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
798,Downtrend,Netral,Tinggi,Kuat Bid,Buy
799,Downtrend,Netral,Tinggi,Kuat Bid,Buy
800,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
801,Downtrend,Netral,Tinggi,Kuat Bid,Buy
802,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
803,Downtrend,Netral,Rendah,Kuat Offer,Wait
804,Sideways,Netral,Tinggi,Kuat Bid,Buy
805,Uptrend,Netral,Rendah,Kuat Offer,Wait
806,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
807,Downtrend,Netral,Rendah,Kuat Bid,Wait
808,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
809,Sideways,Distribusi,Rendah,Kuat Offer,Wait
810,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
811,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
812,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
813,Sideways,Netral,Tinggi,Kuat Bid,Buy
814,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
815,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
816,Downtrend,Netral,Tinggi,Kuat Offer,Wait
817,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
818,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
819,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
820,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
821,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
822,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
823,Uptrend,Netral,Tinggi,Kuat Bid,Buy
824,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
825,Uptrend,Netral,Tinggi,Kuat Offer,Buy
826,Sideways,Netral,Rendah,Kuat Bid,Wait
827,Downtrend,Netral,Rendah,Kuat Bid,Wait
828,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
829,Downtrend,Netral,Rendah,Kuat Bid,Wait
830,Downtrend,Netral,Tinggi,Kuat Offer,Wait
831,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
832,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
833,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
834,Uptrend,Netral,Tinggi,Kuat Bid,Buy
835,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
836,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
837,Downtrend,Netral,Rendah,Kuat Offer,Wait
838,Downtrend,Netral,Rendah,Kuat Offer,Wait
839,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
840,Downtrend,Netral,Tinggi,Kuat Bid,Buy
841,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
842,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
843,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
844,Uptrend,Netral,Rendah,Kuat Bid,Buy
845,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
846,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
847,Uptrend,Netral,Rendah,Kuat Offer,Wait
848,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
849,Sideways,Netral,Tinggi,Kuat Bid,Buy
850,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
851,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
852,Sideways,Netral,Tinggi,Kuat Offer,Wait
853,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
854,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
855,Sideways,Distribusi,Rendah,Kuat Offer,Wait
856,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
857,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
858,Sideways,Distribusi,Rendah,Kuat Offer,Wait
859,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
860,Sideways,Netral,Rendah,Kuat Bid,Wait
861,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
862,Sideways,Distribusi,Rendah,Kuat Offer,Wait
863,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
864,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
865,Sideways,Netral,Tinggi,Kuat Offer,Wait
866,Uptrend,Netral,Tinggi,Kuat Bid,Buy
867,Uptrend,Netral,Tinggi,Kuat Offer,Buy
868,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
869,Sideways,Distribusi,Rendah,Kuat Offer,Wait
870,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
871,Sideways,Netral,Rendah,Kuat Offer,Wait
872,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
873,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
874,Sideways,Netral,Rendah,Kuat Offer,Wait
875,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
876,Sideways,Netral,Rendah,Kuat Offer,Wait
877,Downtrend,Netral,Rendah,Kuat Offer,Wait
878,Sideways,Netral,Tinggi,Kuat Bid,Buy
879,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
880,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
881,Sideways,Netral,Tinggi,Kuat Bid,Buy
882,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
883,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
884,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
885,Uptrend,Netral,Tinggi,Kuat Bid,Buy
886,Sideways,Netral,Rendah,Kuat Bid,Wait
887,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
888,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
889,Sideways,Netral,Tinggi,Kuat Bid,Buy
890,Uptrend,Netral,Rendah,Kuat Offer,Wait
891,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
892,Sideways,Distribusi,Rendah,Kuat Offer,Wait
893,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
894,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
895,Uptrend,Netral,Tinggi,Kuat Bid,Buy
896,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
897,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
898,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
899,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
900,Sideways,Distribusi,Rendah,Kuat Bid,Wait
901,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
902,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
903,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
904,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
905,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
906,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
